YEAR,INSTRUMENT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,YTD,SINCE_INCEPTION,URL,REF_DATE,LOG_TIMESTAMP,SLUG_URL
2025,BIDB11,,,,,,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,,,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-16,2025-05-19 22:31:14.313082+0000,bidb11
2025,BIDB11,,,,,,,-0.001,,,,,,,,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-16,2025-05-19 22:31:14.313082+0000,bidb11
2024,BIDB11,,,,,,,-0.0092,,,,,,,,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-16,2025-05-19 22:31:14.313082+0000,bidb11
2024,BIDB11,,,,,,,-0.0256,,,,,,,,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-16,2025-05-19 22:31:14.313082+0000,bidb11
2023,BIDB11,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999.0,-99999.0,,,,,,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-16,2025-05-19 22:31:14.313082+0000,bidb11
2023,BIDB11 p.p. acima IBOV,-6.62,8.77,-1.15,-0.04,0.3,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1.46,11.93,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-16,2025-05-19 22:31:14.313082+0000,bidb11
2022,BIDB11 p.p. acima IBOV,11.88,2.16,1.31,2.14,3.17,-0.23,"-3,12",-6.46,3.38,0.15,-3.78,-0.68,9.32,8.82,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-16,2025-05-19 22:31:14.313082+0000,bidb11
2022,BIDB11 p.p. acima IBOV,-0.09,8.48,3.6,-0.84,-0.97,-9.11,"-4,18",7.98,1.0,0.12,-11.15,-4.03,-8.77,-2.52,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-16,2025-05-19 22:31:14.313082+0000,bidb11
2021,BIDB11 p.p. acima IBOV,-5.06,0.13,-6.77,10.8,-3.64,11.22,"-7,26",-8.35,2.76,-1.5,0.71,3.85,-1.16,5.45,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-16,2025-05-19 22:31:14.313082+0000,bidb11
2021,BIDB11 p.p. acima IBOV,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999.0,-99999.0,8.61,-1.8,-0.49,6.33,6.33,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-16,2025-05-19 22:31:14.313082+0000,bidb11
