,INSTRUMENT,POSITIVE_MONTHS,NEGATIVE_MONTHS,GREATEST_RETURN,LEAST_RETURN,URL,REF_DATE,LOG_TIMESTAMP,SLUG_URL
0,BIDB11,29,15,0.0709,-0.069,https://maisretorno.com/fi-infra/bidb11#source=instruments_consistency,2025-05-19,2025-05-20 18:28:33.185325+0000,bidb11
1,BINC11,4,4,0.0511,-0.046,https://maisretorno.com/fi-infra/binc11#source=instruments_consistency,2025-05-19,2025-05-20 18:29:15.593783+0000,binc11
2,BODB11,21,13,0.1078,-0.0918,https://maisretorno.com/fi-infra/bodb11#source=instruments_consistency,2025-05-19,2025-05-20 18:29:57.660340+0000,bodb11
3,CDII11,20,5,0.0477,-0.0528,https://maisretorno.com/fi-infra/cdii11#source=instruments_consistency,2025-05-19,2025-05-20 18:30:39.831277+0000,cdii11
4,CPTI11,29,20,0.1042,-0.1035,https://maisretorno.com/fi-infra/cpti11#source=instruments_consistency,2025-05-19,2025-05-20 18:31:24.096277+0000,cpti11
5,DIVS11,1,0,0.0095,0.0095,https://maisretorno.com/fi-infra/divs11#source=instruments_consistency,2025-05-19,2025-05-20 18:32:06.152954+0000,divs11
6,EXIF11,2,0,0.0119,0.0049,https://maisretorno.com/fi-infra/exif11#source=instruments_consistency,2025-05-19,2025-05-20 18:32:47.652718+0000,exif11
7,IFRA11,37,20,0.0795,-0.0988,https://maisretorno.com/fi-infra/ifra11#source=instruments_consistency,2025-05-19,2025-05-20 18:33:30.066131+0000,ifra11
8,IFRI11,7,5,0.0454,-0.0497,https://maisretorno.com/fi-infra/ifri11#source=instruments_consistency,2025-05-19,2025-05-20 18:34:11.872569+0000,ifri11
