,INSTRUMENT,STATISTIC,YTD,MTD,LTM,L_24M,L_36M,L_48M,L_60M,SINCE_INCEPTION,URL,REF_DATE,LOG_TIMESTAMP,SLUG_URL
0,BIDB11,RENTABILIDADE,0.1752,0.0365,0.066,0.2275,0.3369,-99999.0,-99999.0,0.3822,https://maisretorno.com/fi-infra/bidb11#source=instruments_stats,2025-05-19,2025-05-20 11:25:33.265272+0000,bidb11
1,BIDB11,VOLATILIDADE,0.1511,0.105,0.1645,0.1367,0.1219,-99999.0,-99999.0,0.13,https://maisretorno.com/fi-infra/bidb11#source=instruments_stats,2025-05-19,2025-05-20 11:25:33.265272+0000,bidb11
2,BIDB11,ÍNDICE DE SHARPE,2.75,9.46,-0.31,-0.08,-0.18,-99999.0,-99999.0,-0.2,https://maisretorno.com/fi-infra/bidb11#source=instruments_stats,2025-05-19,2025-05-20 11:25:33.265272+0000,bidb11
3,BINC11,RENTABILIDADE,0.088,0.0058,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.001,https://maisretorno.com/fi-infra/binc11#source=instruments_stats,2025-05-19,2025-05-20 11:26:16.083657+0000,binc11
4,BINC11,VOLATILIDADE,0.1744,0.1138,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.2589,https://maisretorno.com/fi-infra/binc11#source=instruments_stats,2025-05-19,2025-05-20 11:26:16.083657+0000,binc11
5,BINC11,ÍNDICE DE SHARPE,0.71,-0.03,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-0.48,https://maisretorno.com/fi-infra/binc11#source=instruments_stats,2025-05-19,2025-05-20 11:26:16.083657+0000,binc11
6,BODB11,RENTABILIDADE,0.0824,0.004,-0.0795,0.0044,0.1273,-99999.0,-99999.0,0.1092,https://maisretorno.com/fi-infra/bodb11#source=instruments_stats,2025-05-19,2025-05-20 11:26:59.717911+0000,bodb11
7,BODB11,VOLATILIDADE,0.2271,0.1367,0.2045,0.1518,0.1363,-99999.0,-99999.0,0.1365,https://maisretorno.com/fi-infra/bodb11#source=instruments_stats,2025-05-19,2025-05-20 11:26:59.717911+0000,bodb11
8,BODB11,ÍNDICE DE SHARPE,0.47,-0.32,-0.97,-0.78,-0.62,-99999.0,-99999.0,-0.66,https://maisretorno.com/fi-infra/bodb11#source=instruments_stats,2025-05-19,2025-05-20 11:26:59.717911+0000,bodb11
9,CDII11,RENTABILIDADE,0.0688,0.0125,0.0911,-99999.0,-99999.0,-99999.0,-99999.0,0.39,https://maisretorno.com/fi-infra/cdii11#source=instruments_stats,2025-05-19,2025-05-20 11:27:43.019757+0000,cdii11
