,INSTRUMENT,STATISTIC,YTD,MTD,LTM,L_24M,L_36M,L_48M,L_60M,SINCE_INCEPTION,URL,REF_DATE,LOG_TIMESTAMP,SLUG_URL
10,CDII11,VOLATILIDADE,0.1111,0.0805,0.1437,-99999.0,-99999.0,-99999.0,-99999.0,0.1082,https://maisretorno.com/fi-infra/cdii11#source=instruments_stats,2025-05-19,2025-05-20 11:27:43.019757+0000,cdii11
11,CDII11,ÍNDICE DE SHARPE,0.58,2.08,-0.17,-99999.0,-99999.0,-99999.0,-99999.0,0.57,https://maisretorno.com/fi-infra/cdii11#source=instruments_stats,2025-05-19,2025-05-20 11:27:43.019757+0000,cdii11
12,CPTI11,RENTABILIDADE,0.0486,0.0244,-0.0344,0.172,0.2365,0.471,-99999.0,0.5094,https://maisretorno.com/fi-infra/cpti11#source=instruments_stats,2025-05-19,2025-05-20 11:28:27.256034+0000,cpti11
13,CPTI11,VOLATILIDADE,0.1684,0.1011,0.1628,0.1265,0.1126,0.12,-99999.0,0.1217,https://maisretorno.com/fi-infra/cpti11#source=instruments_stats,2025-05-19,2025-05-20 11:28:27.256034+0000,cpti11
14,CPTI11,ÍNDICE DE SHARPE,0.02,5.23,-0.94,-0.29,-0.45,-0.09,-99999.0,-0.03,https://maisretorno.com/fi-infra/cpti11#source=instruments_stats,2025-05-19,2025-05-20 11:28:27.256034+0000,cpti11
15,DIVS11,RENTABILIDADE,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.0095,https://maisretorno.com/fi-infra/divs11#source=instruments_stats,2025-05-19,2025-05-20 11:29:11.239133+0000,divs11
16,DIVS11,VOLATILIDADE,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.0288,https://maisretorno.com/fi-infra/divs11#source=instruments_stats,2025-05-19,2025-05-20 11:29:11.239133+0000,divs11
17,DIVS11,ÍNDICE DE SHARPE,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,8.35,https://maisretorno.com/fi-infra/divs11#source=instruments_stats,2025-05-19,2025-05-20 11:29:11.239133+0000,divs11
18,EXIF11,RENTABILIDADE,-99999.0,0.0119,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.0169,https://maisretorno.com/fi-infra/exif11#source=instruments_stats,2025-05-19,2025-05-20 11:29:54.879948+0000,exif11
19,EXIF11,VOLATILIDADE,-99999.0,0.1047,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.1916,https://maisretorno.com/fi-infra/exif11#source=instruments_stats,2025-05-19,2025-05-20 11:29:54.879948+0000,exif11
20,EXIF11,ÍNDICE DE SHARPE,-99999.0,1.44,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.17,https://maisretorno.com/fi-infra/exif11#source=instruments_stats,2025-05-19,2025-05-20 11:29:54.879948+0000,exif11
21,IFRA11,RENTABILIDADE,0.1693,0.0174,0.043,0.3109,0.3119,0.4694,-99999.0,0.5057,https://maisretorno.com/fi-infra/ifra11#source=instruments_stats,2025-05-19,2025-05-20 11:30:38.519886+0000,ifra11
22,IFRA11,VOLATILIDADE,0.207,0.1703,0.1772,0.151,0.141,0.1424,-99999.0,0.1521,https://maisretorno.com/fi-infra/ifra11#source=instruments_stats,2025-05-19,2025-05-20 11:30:38.519886+0000,ifra11
23,IFRA11,ÍNDICE DE SHARPE,1.9,1.79,-0.42,0.18,-0.21,-0.07,-99999.0,-0.05,https://maisretorno.com/fi-infra/ifra11#source=instruments_stats,2025-05-19,2025-05-20 11:30:38.519886+0000,ifra11
24,IFRI11,RENTABILIDADE,0.0389,-0.0057,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.0524,https://maisretorno.com/fi-infra/ifri11#source=instruments_stats,2025-05-19,2025-05-20 11:31:21.045989+0000,ifri11
25,IFRI11,VOLATILIDADE,0.1866,0.1196,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.1756,https://maisretorno.com/fi-infra/ifri11#source=instruments_stats,2025-05-19,2025-05-20 11:31:21.045989+0000,ifri11
26,IFRI11,ÍNDICE DE SHARPE,-0.13,-2.05,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-0.34,https://maisretorno.com/fi-infra/ifri11#source=instruments_stats,2025-05-19,2025-05-20 11:31:21.045989+0000,ifri11
