YEAR,INSTRUMENT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,YTD,SINCE_INCEPTION,URL,REF_DATE,LOG_TIMESTAMP,SLUG_URL
2025,ABCP11,,,,,,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,,,https://maisretorno.com/fii/abcp11#source=instruments_historical_rentability,2025-05-16,2025-05-19 21:51:42.222952+0000,abcp11
2025,ABCP11,,,,,,,,,,,,,,,https://maisretorno.com/fii/abcp11#source=instruments_historical_rentability,2025-05-16,2025-05-19 21:51:42.222952+0000,abcp11
2024,ABCP11,,,,,,,,,,,,,,,https://maisretorno.com/fii/abcp11#source=instruments_historical_rentability,2025-05-16,2025-05-19 21:51:42.222952+0000,abcp11
2023,ABCP11,,,,,,,,,,,,,,,https://maisretorno.com/fii/abcp11#source=instruments_historical_rentability,2025-05-16,2025-05-19 21:51:42.222952+0000,abcp11
2022,ABCP11,,,,,,,,,,,,,,,https://maisretorno.com/fii/abcp11#source=instruments_historical_rentability,2025-05-16,2025-05-19 21:51:42.222952+0000,abcp11
2021,ABCP11,,,,,,,,,,,,,,,https://maisretorno.com/fii/abcp11#source=instruments_historical_rentability,2025-05-16,2025-05-19 21:51:42.222952+0000,abcp11
2020,ABCP11,,,,,,,,,,,,,,,https://maisretorno.com/fii/abcp11#source=instruments_historical_rentability,2025-05-16,2025-05-19 21:51:42.222952+0000,abcp11
2019,ABCP11,,,,,,,,,,,,,,,https://maisretorno.com/fii/abcp11#source=instruments_historical_rentability,2025-05-16,2025-05-19 21:51:42.222952+0000,abcp11
2018,ABCP11,,,,,,,,,,,,,,,https://maisretorno.com/fii/abcp11#source=instruments_historical_rentability,2025-05-16,2025-05-19 21:51:42.222952+0000,abcp11
2017,ABCP11,,,,,,,,,,,,,,,https://maisretorno.com/fii/abcp11#source=instruments_historical_rentability,2025-05-16,2025-05-19 21:51:42.222952+0000,abcp11
2017,ABCP11,,,,,-99999.0,,,-99999.0,,,,,,,https://maisretorno.com/fii/abcp11#source=instruments_historical_rentability,2025-05-16,2025-05-19 21:51:42.222952+0000,abcp11
2016,ABCP11,,-99999.0,,-99999.0,-99999.0,-99999.0,,-99999.0,,,-99999.0,,,,https://maisretorno.com/fii/abcp11#source=instruments_historical_rentability,2025-05-16,2025-05-19 21:51:42.222952+0000,abcp11
2016,ABCP11,-99999.0,,-99999.0,-99999.0,,,,,,-99999.0,-99999.0,-99999.0,,,https://maisretorno.com/fii/abcp11#source=instruments_historical_rentability,2025-05-16,2025-05-19 21:51:42.222952+0000,abcp11
