YEAR,INSTRUMENT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,YTD,SINCE_INCEPTION,URL,REF_DATE,LOG_TIMESTAMP,SLUG_URL
2025,BIDB11,-0.0176,0.0613,0.0492,0.0365,0.0365,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.1752,0.3822,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 08:34:04.190040+0000,bidb11
2025,BIDB11,0.0709,0.0315,0.0061,0.0043,0.0013,0.0125,-0.001,0.0009,0.003,-0.0144,-0.069,-0.0497,-0.0104,0.1761,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 08:34:04.190040+0000,bidb11
2024,BIDB11,0.0327,0.0099,0.007,0.0167,0.0276,-0.0011,-0.0092,0.029,0.0171,-0.0281,0.0139,0.0135,0.1351,0.1885,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 08:34:04.190040+0000,bidb11
2024,BIDB11,0.0192,0.0102,-0.007,0.007,-0.0042,-0.0029,-0.0256,-0.0219,0.0323,0.0396,-0.0235,0.0141,0.0352,0.0471,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 08:34:04.190040+0000,bidb11
2023,BIDB11,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.0222,-0.0333,0.0236,0.0114,0.0114,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 08:34:04.190040+0000,bidb11
2023,BIDB11 p.p. acima IBOV,-6.62,8.77,-1.15,-0.04,0.6,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1.8,12.33,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 08:34:04.190040+0000,bidb11
2022,BIDB11 p.p. acima IBOV,11.88,2.16,1.31,2.14,3.17,-0.23,-3.12,-6.46,3.38,0.15,-3.78,-0.68,9.32,8.82,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 08:34:04.190040+0000,bidb11
2022,BIDB11 p.p. acima IBOV,-0.09,8.48,3.6,-0.84,-0.97,-9.11,-4.18,7.98,1.0,0.12,-11.15,-4.03,-8.77,-2.52,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 08:34:04.190040+0000,bidb11
2021,BIDB11 p.p. acima IBOV,-5.06,0.13,-6.77,10.8,-3.64,11.22,-7.26,-8.35,2.76,-1.5,0.71,3.85,-1.16,5.45,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 08:34:04.190040+0000,bidb11
2021,BIDB11 p.p. acima IBOV,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,8.61,-1.8,-0.49,6.33,6.33,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 08:34:04.190040+0000,bidb11
2025,BINC11,-0.0061,0.0511,0.0331,0.0023,0.0058,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.088,0.001,https://maisretorno.com/fi-infra/binc11#source=instruments_historical_rentability,2025-05-19,2025-05-20 08:34:49.593290+0000,binc11
2025,BINC11,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-0.002,-0.046,-0.0337,-0.08,-0.08,https://maisretorno.com/fi-infra/binc11#source=instruments_historical_rentability,2025-05-19,2025-05-20 08:34:49.593290+0000,binc11
2024,BINC11 p.p. acima IBOV,-5.47,7.76,-2.76,-3.46,-2.47,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-6.91,-6.12,https://maisretorno.com/fi-infra/binc11#source=instruments_historical_rentability,2025-05-19,2025-05-20 08:34:49.593290+0000,binc11
2024,BINC11 p.p. acima IBOV,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.81,-1.48,0.91,0.21,0.21,https://maisretorno.com/fi-infra/binc11#source=instruments_historical_rentability,2025-05-19,2025-05-20 08:34:49.593290+0000,binc11
