,INSTRUMENT,STATISTIC,YTD,MTD,LTM,L_24M,L_36M,L_48M,L_60M,SINCE_INCEPTION,URL,REF_DATE,LOG_TIMESTAMP,SLUG_URL
0,abcp11,"{'text': 'RENTABILIDADE', 'html': 'RENTABILIDADE', 'bounding_box': {'x': 240, 'y': 2601.03125, 'width': 266.359375, 'height': 31}}",0.2229,0.0065,0.3752,0.5292,0.5742,0.8077,0.648,20.6485,https://maisretorno.com/fii/abcp11#source=instruments_stats,2025-05-19,2025-05-20 10:28:53.125369+0000,abcp11
1,abcp11,"{'text': 'VOLATILIDADE', 'html': 'VOLATILIDADE', 'bounding_box': {'x': 240, 'y': 2632.03125, 'width': 266.359375, 'height': 31}}",0.2283,0.1154,0.1943,0.1739,0.1777,0.1864,0.1891,0.5672,https://maisretorno.com/fii/abcp11#source=instruments_stats,2025-05-19,2025-05-20 10:28:53.125369+0000,abcp11
2,abcp11,"{'text': 'ÍNDICE DE SHARPE', 'html': 'ÍNDICE DE SHARPE', 'bounding_box': {'x': 240, 'y': 2663.03125, 'width': 266.359375, 'height': 31}}",2.59,0.13,1.37,0.69,0.23,0.26,0.07,0.14,https://maisretorno.com/fii/abcp11#source=instruments_stats,2025-05-19,2025-05-20 10:28:53.125369+0000,abcp11
3,afhi11,"{'text': 'RENTABILIDADE', 'html': 'RENTABILIDADE', 'bounding_box': {'x': 240, 'y': 1869.9375, 'width': 273.609375, 'height': 31}}",0.0803,0.0065,0.0786,0.2604,0.3998,0.733,-99999.0,0.6799,https://maisretorno.com/fii/afhi11#source=instruments_stats,2025-05-19,2025-05-20 10:29:39.500114+0000,afhi11
4,afhi11,"{'text': 'VOLATILIDADE', 'html': 'VOLATILIDADE', 'bounding_box': {'x': 240, 'y': 1900.9375, 'width': 273.609375, 'height': 31}}",0.1117,0.0708,0.1082,0.0891,0.0914,0.102,-99999.0,0.1131,https://maisretorno.com/fii/afhi11#source=instruments_stats,2025-05-19,2025-05-20 10:29:39.500114+0000,afhi11
5,afhi11,"{'text': 'ÍNDICE DE SHARPE', 'html': 'ÍNDICE DE SHARPE', 'bounding_box': {'x': 240, 'y': 1931.9375, 'width': 273.609375, 'height': 31}}",0.89,0.19,-0.35,0.04,-0.05,0.36,-99999.0,0.23,https://maisretorno.com/fii/afhi11#source=instruments_stats,2025-05-19,2025-05-20 10:29:39.500114+0000,afhi11
