YEAR,INSTRUMENT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,YTD,SINCE_INCEPTION,URL,REF_DATE,LOG_TIMESTAMP,SLUG_URL
2025,BIDB11,-0.02,0.06,0.05,0.04,0.04,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.18,0.38,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 08:31:10.079472+0000,bidb11
2025,BIDB11,0.07,0.03,0.01,0.0,0.0,0.01,-0.0,0.0,0.0,-0.01,-0.07,-0.05,-0.01,0.18,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 08:31:10.079472+0000,bidb11
2024,BIDB11,0.03,0.01,0.01,0.02,0.03,-0.0,-0.01,0.03,0.02,-0.03,0.01,0.01,0.14,0.19,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 08:31:10.079472+0000,bidb11
2024,BIDB11,0.02,0.01,-0.01,0.01,-0.0,-0.0,-0.03,-0.02,0.03,0.04,-0.02,0.01,0.04,0.05,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 08:31:10.079472+0000,bidb11
2023,BIDB11,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.02,-0.03,0.02,0.01,0.01,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 08:31:10.079472+0000,bidb11
2023,BIDB11 p.p. acima IBOV,-6.62,8.77,-1.15,-0.04,0.6,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1.8,12.33,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 08:31:10.079472+0000,bidb11
2022,BIDB11 p.p. acima IBOV,11.88,2.16,1.31,2.14,3.17,-0.23,-3.12,-6.46,3.38,0.15,-3.78,-0.68,9.32,8.82,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 08:31:10.079472+0000,bidb11
2022,BIDB11 p.p. acima IBOV,-0.09,8.48,3.6,-0.84,-0.97,-9.11,-4.18,7.98,1.0,0.12,-11.15,-4.03,-8.77,-2.52,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 08:31:10.079472+0000,bidb11
2021,BIDB11 p.p. acima IBOV,-5.06,0.13,-6.77,10.8,-3.64,11.22,-7.26,-8.35,2.76,-1.5,0.71,3.85,-1.16,5.45,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 08:31:10.079472+0000,bidb11
2021,BIDB11 p.p. acima IBOV,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,8.61,-1.8,-0.49,6.33,6.33,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 08:31:10.079472+0000,bidb11
2025,BINC11,-0.01,0.05,0.03,0.0,0.01,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.09,0.0,https://maisretorno.com/fi-infra/binc11#source=instruments_historical_rentability,2025-05-19,2025-05-20 08:31:55.266075+0000,binc11
2025,BINC11,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-0.0,-0.05,-0.03,-0.08,-0.08,https://maisretorno.com/fi-infra/binc11#source=instruments_historical_rentability,2025-05-19,2025-05-20 08:31:55.266075+0000,binc11
2024,BINC11 p.p. acima IBOV,-5.47,7.76,-2.76,-3.46,-2.47,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-6.91,-6.12,https://maisretorno.com/fi-infra/binc11#source=instruments_historical_rentability,2025-05-19,2025-05-20 08:31:55.266075+0000,binc11
2024,BINC11 p.p. acima IBOV,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.81,-1.48,0.91,0.21,0.21,https://maisretorno.com/fi-infra/binc11#source=instruments_historical_rentability,2025-05-19,2025-05-20 08:31:55.266075+0000,binc11
