YEAR,INSTRUMENT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,YTD,SINCE_INCEPTION,URL,REF_DATE,LOG_TIMESTAMP,SLUG_URL
2025,ABCP11,0.1257,0.0184,0.019,0.0401,0.0065,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0.2229,20.6485,https://maisretorno.com/fii/abcp11#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:54:20.504784+0000,abcp11
2024,ABCP11,0.0975,0.075,-0.0307,-0.0721,-0.0131,0.002,-0.0369,0.1059,-0.0044,0.0723,0.0142,-0.0215,0.184,16.7033,https://maisretorno.com/fii/abcp11#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:54:20.504784+0000,abcp11
2023,ABCP11,-0.0656,-0.0217,0.0098,0.0648,0.0256,0.0356,0.0118,-0.0025,-0.0492,0.0378,0.013,0.0008,0.0541,13.9526,https://maisretorno.com/fii/abcp11#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:54:20.504784+0000,abcp11
2022,ABCP11,0.0705,0.0477,-0.0482,0.0162,-0.0058,-0.0307,-0.0226,0.1349,-0.0259,0.0294,-0.0092,-0.0304,0.1171,13.185,https://maisretorno.com/fii/abcp11#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:54:20.504784+0000,abcp11
2021,ABCP11,0.0522,-0.0049,0.0235,-0.0398,-0.0323,-0.046,0.0865,-0.0064,-0.0524,-0.0267,-0.078,0.1515,0.0042,11.6984,https://maisretorno.com/fii/abcp11#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:54:20.504784+0000,abcp11
2020,ABCP11,-0.0214,-0.0272,-0.1909,0.01,-0.012,0.0615,0.0509,-0.0325,-0.1035,-0.0478,0.039,-0.0457,-0.2979,11.6452,https://maisretorno.com/fii/abcp11#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:54:20.504784+0000,abcp11
2019,ABCP11,0.0889,0.0662,0.096,-0.0594,0.0659,0.0101,-0.0608,-0.064,-0.0042,0.0093,0.0763,0.091,0.3368,17.0118,https://maisretorno.com/fii/abcp11#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:54:20.504784+0000,abcp11
2018,ABCP11,0.06,-0.0047,-0.0174,-0.0135,-0.0337,-0.0646,0.1002,0.0418,-0.0022,0.0301,0.0112,0.0415,0.1469,12.4743,https://maisretorno.com/fii/abcp11#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:54:20.504784+0000,abcp11
2017,ABCP11,0.1023,0.0719,0.1406,0.0047,0.0117,0.0355,0.0015,0.0078,0.1267,-0.1515,0.0469,-0.0068,0.4232,10.748,https://maisretorno.com/fii/abcp11#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:54:20.504784+0000,abcp11
2016,ABCP11,-0.0033,0.0259,0.0318,0.0553,-0.0439,0.1423,0.0522,0.0232,-0.0026,0.0152,0.0275,0.0147,0.382,7.2548,https://maisretorno.com/fii/abcp11#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:54:20.504784+0000,abcp11
2015,ABCP11,0.0666,0.0734,-0.052,0.0073,0.025,0.0454,0.0018,-0.0601,0.0089,0.0016,-0.01,-0.0378,0.0619,4.9731,https://maisretorno.com/fii/abcp11#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:54:20.504784+0000,abcp11
2014,ABCP11,-0.0378,0.0677,-0.0029,0.0576,-0.0229,0.0161,0.014,-0.0117,0.0064,-0.0178,0.043,-0.0397,0.0672,4.6251,https://maisretorno.com/fii/abcp11#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:54:20.504784+0000,abcp11
2013,ABCP11,0.0217,0.0374,-0.0099,-0.0763,0.0321,-0.0206,-0.0162,0.0587,0.0625,-0.0019,0.0115,0.0007,0.0957,4.2708,https://maisretorno.com/fii/abcp11#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:54:20.504784+0000,abcp11
2012,ABCP11,0.0124,0.0498,0.0101,0.0177,0.0213,0.0645,0.1033,-0.0422,0.1093,-0.0143,-0.0832,-0.0047,0.2522,3.8104,https://maisretorno.com/fii/abcp11#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:54:20.504784+0000,abcp11
2011,ABCP11,0.043,-0.0404,0.0224,-0.0134,0.0305,-0.0336,0.0273,-0.0094,0.05,-0.0063,0.0311,0.0108,0.1127,2.8416,https://maisretorno.com/fii/abcp11#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:54:20.504784+0000,abcp11
2010,ABCP11,0.0551,0.0071,-0.0799,0.0365,-0.1049,0.0156,0.0119,-0.0249,0.0368,-0.0309,0.0222,-0.0024,-0.0687,2.4526,https://maisretorno.com/fii/abcp11#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:54:20.504784+0000,abcp11
2009,ABCP11,-0.043,0.0526,-0.042,0.0526,0.0,0.1667,0.0143,0.1989,-0.0118,0.1083,-0.0475,0.0833,0.6288,2.7072,https://maisretorno.com/fii/abcp11#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:54:20.504784+0000,abcp11
2008,ABCP11,-0.2453,0.5169,-0.1021,0.0063,-99999.0,-0.2,0.0938,-99999.0,0.1449,-0.0446,-0.1,-0.1037,-0.2014,1.2761,https://maisretorno.com/fii/abcp11#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:54:20.504784+0000,abcp11
2007,ABCP11,0.0806,-99999.0,0.1061,-99999.0,-99999.0,-99999.0,1.0877,-99999.0,-0.0955,0.1173,-99999.0,-0.1927,1.0357,1.85,https://maisretorno.com/fii/abcp11#source=instruments_historical_rentability,2025-05-19,2025-05-20 09:54:20.504784+0000,abcp11
