YEAR,INSTRUMENT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,YTD,SINCE_INCEPTION,URL,REF_DATE,LOG_TIMESTAMP,SLUG_URL
2025,"{'text': 'BIDB11', 'html': 'BIDB11', 'bounding_box': {'x': 318.703125, 'y': 1473.171875, 'width': 272.046875, 'height': 22.40625}}","{'text': '-1,76%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-pthjm8"">-1,76%</p>', 'bounding_box': {'x': 602.75, 'y': 1473.171875, 'width': 63.078125, 'height': 22.40625}}","{'text': '6,13%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">6,13%</p>', 'bounding_box': {'x': 677.828125, 'y': 1473.171875, 'width': 60.046875, 'height': 22.40625}}","{'text': '4,92%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">4,92%</p>', 'bounding_box': {'x': 749.875, 'y': 1473.171875, 'width': 63.078125, 'height': 22.40625}}","{'text': '3,65%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">3,65%</p>', 'bounding_box': {'x': 824.953125, 'y': 1473.171875, 'width': 60.046875, 'height': 22.40625}}","{'text': '3,65%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">3,65%</p>', 'bounding_box': {'x': 897, 'y': 1473.171875, 'width': 63.078125, 'height': 22.40625}}","{'text': '-', 'html': '-', 'bounding_box': {'x': 972.078125, 'y': 1473.171875, 'width': 63.078125, 'height': 22.40625}}","{'text': '-', 'html': '-', 'bounding_box': {'x': 1047.15625, 'y': 1473.171875, 'width': 63.078125, 'height': 22.40625}}","{'text': '-', 'html': '-', 'bounding_box': {'x': 1122.234375, 'y': 1473.171875, 'width': 63.078125, 'height': 22.40625}}","{'text': '-', 'html': '-', 'bounding_box': {'x': 1197.3125, 'y': 1473.171875, 'width': 60.046875, 'height': 22.40625}}","{'text': '-', 'html': '-', 'bounding_box': {'x': 1269.359375, 'y': 1473.171875, 'width': 63.078125, 'height': 22.40625}}","{'text': '-', 'html': '-', 'bounding_box': {'x': 1344.4375, 'y': 1473.171875, 'width': 63.078125, 'height': 22.40625}}","{'text': '-', 'html': '-', 'bounding_box': {'x': 1419.515625, 'y': 1473.171875, 'width': 63.078125, 'height': 22.40625}}","{'text': '17,52%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">17,52%</p>', 'bounding_box': {'x': 1494.59375, 'y': 1473.171875, 'width': 65.34375, 'height': 22.40625}}","{'text': '38,22%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">38,22%</p>', 'bounding_box': {'x': 1571.9375, 'y': 1473.171875, 'width': 84.0625, 'height': 22.40625}}",https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 06:50:15.922867+0000,bidb11
2025,"{'text': 'BIDB11', 'html': 'BIDB11', 'bounding_box': {'x': 318.703125, 'y': 1520.265625, 'width': 272.046875, 'height': 22.40625}}","{'text': '7,09%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">7,09%</p>', 'bounding_box': {'x': 602.75, 'y': 1520.265625, 'width': 63.078125, 'height': 22.40625}}","{'text': '3,15%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">3,15%</p>', 'bounding_box': {'x': 677.828125, 'y': 1520.265625, 'width': 60.046875, 'height': 22.40625}}","{'text': '0,61%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">0,61%</p>', 'bounding_box': {'x': 749.875, 'y': 1520.265625, 'width': 63.078125, 'height': 22.40625}}","{'text': '0,43%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">0,43%</p>', 'bounding_box': {'x': 824.953125, 'y': 1520.265625, 'width': 60.046875, 'height': 22.40625}}","{'text': '0,13%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">0,13%</p>', 'bounding_box': {'x': 897, 'y': 1520.265625, 'width': 63.078125, 'height': 22.40625}}","{'text': '1,25%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">1,25%</p>', 'bounding_box': {'x': 972.078125, 'y': 1520.265625, 'width': 63.078125, 'height': 22.40625}}","{'text': '-0,10%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-pthjm8"">-0,10%</p>', 'bounding_box': {'x': 1047.15625, 'y': 1520.265625, 'width': 63.078125, 'height': 22.40625}}","{'text': '0,09%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">0,09%</p>', 'bounding_box': {'x': 1122.234375, 'y': 1520.265625, 'width': 63.078125, 'height': 22.40625}}","{'text': '0,30%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">0,30%</p>', 'bounding_box': {'x': 1197.3125, 'y': 1520.265625, 'width': 60.046875, 'height': 22.40625}}","{'text': '-1,44%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-pthjm8"">-1,44%</p>', 'bounding_box': {'x': 1269.359375, 'y': 1520.265625, 'width': 63.078125, 'height': 22.40625}}","{'text': '-6,90%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-pthjm8"">-6,90%</p>', 'bounding_box': {'x': 1344.4375, 'y': 1520.265625, 'width': 63.078125, 'height': 22.40625}}","{'text': '-4,97%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-pthjm8"">-4,97%</p>', 'bounding_box': {'x': 1419.515625, 'y': 1520.265625, 'width': 63.078125, 'height': 22.40625}}","{'text': '-1,04%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-pthjm8"">-1,04%</p>', 'bounding_box': {'x': 1494.59375, 'y': 1520.265625, 'width': 65.34375, 'height': 22.40625}}","{'text': '17,61%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">17,61%</p>', 'bounding_box': {'x': 1571.9375, 'y': 1520.265625, 'width': 84.0625, 'height': 22.40625}}",https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 06:50:15.922867+0000,bidb11
2024,"{'text': 'BIDB11', 'html': 'BIDB11', 'bounding_box': {'x': 318.703125, 'y': 1567.359375, 'width': 272.046875, 'height': 22.40625}}","{'text': '3,27%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">3,27%</p>', 'bounding_box': {'x': 602.75, 'y': 1567.359375, 'width': 63.078125, 'height': 22.40625}}","{'text': '0,99%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">0,99%</p>', 'bounding_box': {'x': 677.828125, 'y': 1567.359375, 'width': 60.046875, 'height': 22.40625}}","{'text': '0,70%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">0,70%</p>', 'bounding_box': {'x': 749.875, 'y': 1567.359375, 'width': 63.078125, 'height': 22.40625}}","{'text': '1,67%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">1,67%</p>', 'bounding_box': {'x': 824.953125, 'y': 1567.359375, 'width': 60.046875, 'height': 22.40625}}","{'text': '2,76%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">2,76%</p>', 'bounding_box': {'x': 897, 'y': 1567.359375, 'width': 63.078125, 'height': 22.40625}}","{'text': '-0,11%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-pthjm8"">-0,11%</p>', 'bounding_box': {'x': 972.078125, 'y': 1567.359375, 'width': 63.078125, 'height': 22.40625}}","{'text': '-0,92%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-pthjm8"">-0,92%</p>', 'bounding_box': {'x': 1047.15625, 'y': 1567.359375, 'width': 63.078125, 'height': 22.40625}}","{'text': '2,90%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">2,90%</p>', 'bounding_box': {'x': 1122.234375, 'y': 1567.359375, 'width': 63.078125, 'height': 22.40625}}","{'text': '1,71%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">1,71%</p>', 'bounding_box': {'x': 1197.3125, 'y': 1567.359375, 'width': 60.046875, 'height': 22.40625}}","{'text': '-2,81%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-pthjm8"">-2,81%</p>', 'bounding_box': {'x': 1269.359375, 'y': 1567.359375, 'width': 63.078125, 'height': 22.40625}}","{'text': '1,39%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">1,39%</p>', 'bounding_box': {'x': 1344.4375, 'y': 1567.359375, 'width': 63.078125, 'height': 22.40625}}","{'text': '1,35%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">1,35%</p>', 'bounding_box': {'x': 1419.515625, 'y': 1567.359375, 'width': 63.078125, 'height': 22.40625}}","{'text': '13,51%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">13,51%</p>', 'bounding_box': {'x': 1494.59375, 'y': 1567.359375, 'width': 65.34375, 'height': 22.40625}}","{'text': '18,85%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">18,85%</p>', 'bounding_box': {'x': 1571.9375, 'y': 1567.359375, 'width': 84.0625, 'height': 22.40625}}",https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 06:50:15.922867+0000,bidb11
2024,"{'text': 'BIDB11', 'html': 'BIDB11', 'bounding_box': {'x': 318.703125, 'y': 1614.453125, 'width': 272.046875, 'height': 22.40625}}","{'text': '1,92%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">1,92%</p>', 'bounding_box': {'x': 602.75, 'y': 1614.453125, 'width': 63.078125, 'height': 22.40625}}","{'text': '1,02%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">1,02%</p>', 'bounding_box': {'x': 677.828125, 'y': 1614.453125, 'width': 60.046875, 'height': 22.40625}}","{'text': '-0,70%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-pthjm8"">-0,70%</p>', 'bounding_box': {'x': 749.875, 'y': 1614.453125, 'width': 63.078125, 'height': 22.40625}}","{'text': '0,70%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">0,70%</p>', 'bounding_box': {'x': 824.953125, 'y': 1614.453125, 'width': 60.046875, 'height': 22.40625}}","{'text': '-0,42%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-pthjm8"">-0,42%</p>', 'bounding_box': {'x': 897, 'y': 1614.453125, 'width': 63.078125, 'height': 22.40625}}","{'text': '-0,29%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-pthjm8"">-0,29%</p>', 'bounding_box': {'x': 972.078125, 'y': 1614.453125, 'width': 63.078125, 'height': 22.40625}}","{'text': '-2,56%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-pthjm8"">-2,56%</p>', 'bounding_box': {'x': 1047.15625, 'y': 1614.453125, 'width': 63.078125, 'height': 22.40625}}","{'text': '-2,19%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-pthjm8"">-2,19%</p>', 'bounding_box': {'x': 1122.234375, 'y': 1614.453125, 'width': 63.078125, 'height': 22.40625}}","{'text': '3,23%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">3,23%</p>', 'bounding_box': {'x': 1197.3125, 'y': 1614.453125, 'width': 60.046875, 'height': 22.40625}}","{'text': '3,96%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">3,96%</p>', 'bounding_box': {'x': 1269.359375, 'y': 1614.453125, 'width': 63.078125, 'height': 22.40625}}","{'text': '-2,35%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-pthjm8"">-2,35%</p>', 'bounding_box': {'x': 1344.4375, 'y': 1614.453125, 'width': 63.078125, 'height': 22.40625}}","{'text': '1,41%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">1,41%</p>', 'bounding_box': {'x': 1419.515625, 'y': 1614.453125, 'width': 63.078125, 'height': 22.40625}}","{'text': '3,52%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">3,52%</p>', 'bounding_box': {'x': 1494.59375, 'y': 1614.453125, 'width': 65.34375, 'height': 22.40625}}","{'text': '4,71%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">4,71%</p>', 'bounding_box': {'x': 1571.9375, 'y': 1614.453125, 'width': 84.0625, 'height': 22.40625}}",https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 06:50:15.922867+0000,bidb11
2023,"{'text': 'BIDB11', 'html': 'BIDB11', 'bounding_box': {'x': 318.703125, 'y': 1661.546875, 'width': 272.046875, 'height': 22.40625}}","{'text': '-', 'html': '-', 'bounding_box': {'x': 602.75, 'y': 1661.546875, 'width': 63.078125, 'height': 22.40625}}","{'text': '-', 'html': '-', 'bounding_box': {'x': 677.828125, 'y': 1661.546875, 'width': 60.046875, 'height': 22.40625}}","{'text': '-', 'html': '-', 'bounding_box': {'x': 749.875, 'y': 1661.546875, 'width': 63.078125, 'height': 22.40625}}","{'text': '-', 'html': '-', 'bounding_box': {'x': 824.953125, 'y': 1661.546875, 'width': 60.046875, 'height': 22.40625}}","{'text': '-', 'html': '-', 'bounding_box': {'x': 897, 'y': 1661.546875, 'width': 63.078125, 'height': 22.40625}}","{'text': '-', 'html': '-', 'bounding_box': {'x': 972.078125, 'y': 1661.546875, 'width': 63.078125, 'height': 22.40625}}","{'text': '-', 'html': '-', 'bounding_box': {'x': 1047.15625, 'y': 1661.546875, 'width': 63.078125, 'height': 22.40625}}","{'text': '-', 'html': '-', 'bounding_box': {'x': 1122.234375, 'y': 1661.546875, 'width': 63.078125, 'height': 22.40625}}","{'text': '-', 'html': '-', 'bounding_box': {'x': 1197.3125, 'y': 1661.546875, 'width': 60.046875, 'height': 22.40625}}","{'text': '2,22%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">2,22%</p>', 'bounding_box': {'x': 1269.359375, 'y': 1661.546875, 'width': 63.078125, 'height': 22.40625}}","{'text': '-3,33%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-pthjm8"">-3,33%</p>', 'bounding_box': {'x': 1344.4375, 'y': 1661.546875, 'width': 63.078125, 'height': 22.40625}}","{'text': '2,36%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">2,36%</p>', 'bounding_box': {'x': 1419.515625, 'y': 1661.546875, 'width': 63.078125, 'height': 22.40625}}","{'text': '1,14%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">1,14%</p>', 'bounding_box': {'x': 1494.59375, 'y': 1661.546875, 'width': 65.34375, 'height': 22.40625}}","{'text': '1,14%', 'html': '<p class=""MuiTypography-root MuiTypography-body1 css-12iuu9"">1,14%</p>', 'bounding_box': {'x': 1571.9375, 'y': 1661.546875, 'width': 84.0625, 'height': 22.40625}}",https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 06:50:15.922867+0000,bidb11
2023,"{'text': 'p.p. acima IBOV', 'html': 'p.p. acima IBOV', 'bounding_box': {'x': 318.703125, 'y': 1495.578125, 'width': 272.046875, 'height': 14.6875}}","{'text': '-6,62', 'html': '-6,62', 'bounding_box': {'x': 602.75, 'y': 1495.578125, 'width': 63.078125, 'height': 14.6875}}","{'text': '8,77', 'html': '8,77', 'bounding_box': {'x': 677.828125, 'y': 1495.578125, 'width': 60.046875, 'height': 14.6875}}","{'text': '-1,15', 'html': '-1,15', 'bounding_box': {'x': 749.875, 'y': 1495.578125, 'width': 63.078125, 'height': 14.6875}}","{'text': '-0,04', 'html': '-0,04', 'bounding_box': {'x': 824.953125, 'y': 1495.578125, 'width': 60.046875, 'height': 14.6875}}","{'text': '0,60', 'html': '0,60', 'bounding_box': {'x': 897, 'y': 1495.578125, 'width': 63.078125, 'height': 14.6875}}","{'text': '-', 'html': '-', 'bounding_box': {'x': 972.078125, 'y': 1495.578125, 'width': 63.078125, 'height': 14.6875}}","{'text': '-', 'html': '-', 'bounding_box': {'x': 1047.15625, 'y': 1495.578125, 'width': 63.078125, 'height': 14.6875}}","{'text': '-', 'html': '-', 'bounding_box': {'x': 1122.234375, 'y': 1495.578125, 'width': 63.078125, 'height': 14.6875}}","{'text': '-', 'html': '-', 'bounding_box': {'x': 1197.3125, 'y': 1495.578125, 'width': 60.046875, 'height': 14.6875}}","{'text': '-', 'html': '-', 'bounding_box': {'x': 1269.359375, 'y': 1495.578125, 'width': 63.078125, 'height': 14.6875}}","{'text': '-', 'html': '-', 'bounding_box': {'x': 1344.4375, 'y': 1495.578125, 'width': 63.078125, 'height': 14.6875}}","{'text': '-', 'html': '-', 'bounding_box': {'x': 1419.515625, 'y': 1495.578125, 'width': 63.078125, 'height': 14.6875}}","{'text': '1,80', 'html': '1,80', 'bounding_box': {'x': 1494.59375, 'y': 1495.578125, 'width': 65.34375, 'height': 14.6875}}","{'text': '12,33', 'html': '12,33', 'bounding_box': {'x': 1571.9375, 'y': 1495.578125, 'width': 84.0625, 'height': 14.6875}}",https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 06:50:15.922867+0000,bidb11
2022,"{'text': 'p.p. acima IBOV', 'html': 'p.p. acima IBOV', 'bounding_box': {'x': 318.703125, 'y': 1542.671875, 'width': 272.046875, 'height': 14.6875}}","{'text': '11,88', 'html': '11,88', 'bounding_box': {'x': 602.75, 'y': 1542.671875, 'width': 63.078125, 'height': 14.6875}}","{'text': '2,16', 'html': '2,16', 'bounding_box': {'x': 677.828125, 'y': 1542.671875, 'width': 60.046875, 'height': 14.6875}}","{'text': '1,31', 'html': '1,31', 'bounding_box': {'x': 749.875, 'y': 1542.671875, 'width': 63.078125, 'height': 14.6875}}","{'text': '2,14', 'html': '2,14', 'bounding_box': {'x': 824.953125, 'y': 1542.671875, 'width': 60.046875, 'height': 14.6875}}","{'text': '3,17', 'html': '3,17', 'bounding_box': {'x': 897, 'y': 1542.671875, 'width': 63.078125, 'height': 14.6875}}","{'text': '-0,23', 'html': '-0,23', 'bounding_box': {'x': 972.078125, 'y': 1542.671875, 'width': 63.078125, 'height': 14.6875}}","{'text': '-3,12', 'html': '-3,12', 'bounding_box': {'x': 1047.15625, 'y': 1542.671875, 'width': 63.078125, 'height': 14.6875}}","{'text': '-6,46', 'html': '-6,46', 'bounding_box': {'x': 1122.234375, 'y': 1542.671875, 'width': 63.078125, 'height': 14.6875}}","{'text': '3,38', 'html': '3,38', 'bounding_box': {'x': 1197.3125, 'y': 1542.671875, 'width': 60.046875, 'height': 14.6875}}","{'text': '0,15', 'html': '0,15', 'bounding_box': {'x': 1269.359375, 'y': 1542.671875, 'width': 63.078125, 'height': 14.6875}}","{'text': '-3,78', 'html': '-3,78', 'bounding_box': {'x': 1344.4375, 'y': 1542.671875, 'width': 63.078125, 'height': 14.6875}}","{'text': '-0,68', 'html': '-0,68', 'bounding_box': {'x': 1419.515625, 'y': 1542.671875, 'width': 63.078125, 'height': 14.6875}}","{'text': '9,32', 'html': '9,32', 'bounding_box': {'x': 1494.59375, 'y': 1542.671875, 'width': 65.34375, 'height': 14.6875}}","{'text': '8,82', 'html': '8,82', 'bounding_box': {'x': 1571.9375, 'y': 1542.671875, 'width': 84.0625, 'height': 14.6875}}",https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 06:50:15.922867+0000,bidb11
2022,"{'text': 'p.p. acima IBOV', 'html': 'p.p. acima IBOV', 'bounding_box': {'x': 318.703125, 'y': 1589.765625, 'width': 272.046875, 'height': 14.6875}}","{'text': '-0,09', 'html': '-0,09', 'bounding_box': {'x': 602.75, 'y': 1589.765625, 'width': 63.078125, 'height': 14.6875}}","{'text': '8,48', 'html': '8,48', 'bounding_box': {'x': 677.828125, 'y': 1589.765625, 'width': 60.046875, 'height': 14.6875}}","{'text': '3,60', 'html': '3,60', 'bounding_box': {'x': 749.875, 'y': 1589.765625, 'width': 63.078125, 'height': 14.6875}}","{'text': '-0,84', 'html': '-0,84', 'bounding_box': {'x': 824.953125, 'y': 1589.765625, 'width': 60.046875, 'height': 14.6875}}","{'text': '-0,97', 'html': '-0,97', 'bounding_box': {'x': 897, 'y': 1589.765625, 'width': 63.078125, 'height': 14.6875}}","{'text': '-9,11', 'html': '-9,11', 'bounding_box': {'x': 972.078125, 'y': 1589.765625, 'width': 63.078125, 'height': 14.6875}}","{'text': '-4,18', 'html': '-4,18', 'bounding_box': {'x': 1047.15625, 'y': 1589.765625, 'width': 63.078125, 'height': 14.6875}}","{'text': '7,98', 'html': '7,98', 'bounding_box': {'x': 1122.234375, 'y': 1589.765625, 'width': 63.078125, 'height': 14.6875}}","{'text': '1,00', 'html': '1,00', 'bounding_box': {'x': 1197.3125, 'y': 1589.765625, 'width': 60.046875, 'height': 14.6875}}","{'text': '0,12', 'html': '0,12', 'bounding_box': {'x': 1269.359375, 'y': 1589.765625, 'width': 63.078125, 'height': 14.6875}}","{'text': '-11,15', 'html': '-11,15', 'bounding_box': {'x': 1344.4375, 'y': 1589.765625, 'width': 63.078125, 'height': 14.6875}}","{'text': '-4,03', 'html': '-4,03', 'bounding_box': {'x': 1419.515625, 'y': 1589.765625, 'width': 63.078125, 'height': 14.6875}}","{'text': '-8,77', 'html': '-8,77', 'bounding_box': {'x': 1494.59375, 'y': 1589.765625, 'width': 65.34375, 'height': 14.6875}}","{'text': '-2,52', 'html': '-2,52', 'bounding_box': {'x': 1571.9375, 'y': 1589.765625, 'width': 84.0625, 'height': 14.6875}}",https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 06:50:15.922867+0000,bidb11
2021,"{'text': 'p.p. acima IBOV', 'html': 'p.p. acima IBOV', 'bounding_box': {'x': 318.703125, 'y': 1636.859375, 'width': 272.046875, 'height': 14.6875}}","{'text': '-5,06', 'html': '-5,06', 'bounding_box': {'x': 602.75, 'y': 1636.859375, 'width': 63.078125, 'height': 14.6875}}","{'text': '0,13', 'html': '0,13', 'bounding_box': {'x': 677.828125, 'y': 1636.859375, 'width': 60.046875, 'height': 14.6875}}","{'text': '-6,77', 'html': '-6,77', 'bounding_box': {'x': 749.875, 'y': 1636.859375, 'width': 63.078125, 'height': 14.6875}}","{'text': '10,80', 'html': '10,80', 'bounding_box': {'x': 824.953125, 'y': 1636.859375, 'width': 60.046875, 'height': 14.6875}}","{'text': '-3,64', 'html': '-3,64', 'bounding_box': {'x': 897, 'y': 1636.859375, 'width': 63.078125, 'height': 14.6875}}","{'text': '11,22', 'html': '11,22', 'bounding_box': {'x': 972.078125, 'y': 1636.859375, 'width': 63.078125, 'height': 14.6875}}","{'text': '-7,26', 'html': '-7,26', 'bounding_box': {'x': 1047.15625, 'y': 1636.859375, 'width': 63.078125, 'height': 14.6875}}","{'text': '-8,35', 'html': '-8,35', 'bounding_box': {'x': 1122.234375, 'y': 1636.859375, 'width': 63.078125, 'height': 14.6875}}","{'text': '2,76', 'html': '2,76', 'bounding_box': {'x': 1197.3125, 'y': 1636.859375, 'width': 60.046875, 'height': 14.6875}}","{'text': '-1,50', 'html': '-1,50', 'bounding_box': {'x': 1269.359375, 'y': 1636.859375, 'width': 63.078125, 'height': 14.6875}}","{'text': '0,71', 'html': '0,71', 'bounding_box': {'x': 1344.4375, 'y': 1636.859375, 'width': 63.078125, 'height': 14.6875}}","{'text': '3,85', 'html': '3,85', 'bounding_box': {'x': 1419.515625, 'y': 1636.859375, 'width': 63.078125, 'height': 14.6875}}","{'text': '-1,16', 'html': '-1,16', 'bounding_box': {'x': 1494.59375, 'y': 1636.859375, 'width': 65.34375, 'height': 14.6875}}","{'text': '5,45', 'html': '5,45', 'bounding_box': {'x': 1571.9375, 'y': 1636.859375, 'width': 84.0625, 'height': 14.6875}}",https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 06:50:15.922867+0000,bidb11
2021,"{'text': 'p.p. acima IBOV', 'html': 'p.p. acima IBOV', 'bounding_box': {'x': 318.703125, 'y': 1683.953125, 'width': 272.046875, 'height': 14.6875}}","{'text': '-', 'html': '-', 'bounding_box': {'x': 602.75, 'y': 1683.953125, 'width': 63.078125, 'height': 14.6875}}","{'text': '-', 'html': '-', 'bounding_box': {'x': 677.828125, 'y': 1683.953125, 'width': 60.046875, 'height': 14.6875}}","{'text': '-', 'html': '-', 'bounding_box': {'x': 749.875, 'y': 1683.953125, 'width': 63.078125, 'height': 14.6875}}","{'text': '-', 'html': '-', 'bounding_box': {'x': 824.953125, 'y': 1683.953125, 'width': 60.046875, 'height': 14.6875}}","{'text': '-', 'html': '-', 'bounding_box': {'x': 897, 'y': 1683.953125, 'width': 63.078125, 'height': 14.6875}}","{'text': '-', 'html': '-', 'bounding_box': {'x': 972.078125, 'y': 1683.953125, 'width': 63.078125, 'height': 14.6875}}","{'text': '-', 'html': '-', 'bounding_box': {'x': 1047.15625, 'y': 1683.953125, 'width': 63.078125, 'height': 14.6875}}","{'text': '-', 'html': '-', 'bounding_box': {'x': 1122.234375, 'y': 1683.953125, 'width': 63.078125, 'height': 14.6875}}","{'text': '-', 'html': '-', 'bounding_box': {'x': 1197.3125, 'y': 1683.953125, 'width': 60.046875, 'height': 14.6875}}","{'text': '8,61', 'html': '8,61', 'bounding_box': {'x': 1269.359375, 'y': 1683.953125, 'width': 63.078125, 'height': 14.6875}}","{'text': '-1,80', 'html': '-1,80', 'bounding_box': {'x': 1344.4375, 'y': 1683.953125, 'width': 63.078125, 'height': 14.6875}}","{'text': '-0,49', 'html': '-0,49', 'bounding_box': {'x': 1419.515625, 'y': 1683.953125, 'width': 63.078125, 'height': 14.6875}}","{'text': '6,33', 'html': '6,33', 'bounding_box': {'x': 1494.59375, 'y': 1683.953125, 'width': 65.34375, 'height': 14.6875}}","{'text': '6,33', 'html': '6,33', 'bounding_box': {'x': 1571.9375, 'y': 1683.953125, 'width': 84.0625, 'height': 14.6875}}",https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 06:50:15.922867+0000,bidb11
