YEAR,INSTRUMENT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,YTD,SINCE_INCEPTION,URL,REF_DATE,LOG_TIMESTAMP,SLUG_URL
2025,CDI,,,,,,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,,,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-16,2025-05-19 22:21:25.365948+0000,cdi
2025,CDI,,,,,,,,,,,,,,,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-16,2025-05-19 22:21:25.365948+0000,cdi
2024,CDI,,,,,,,,,,,,,,,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-16,2025-05-19 22:21:25.365948+0000,cdi
2023,CDI,,,,,,,,,,,,,,,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-16,2025-05-19 22:21:25.365948+0000,cdi
2022,CDI,,,,,,,,,,,,,,,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-16,2025-05-19 22:21:25.365948+0000,cdi
2021,CDI,,,,,,,,,,,,,,,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-16,2025-05-19 22:21:25.365948+0000,cdi
2020,CDI,,,,,,,,,,,,,,,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-16,2025-05-19 22:21:25.365948+0000,cdi
2019,CDI,,,,,,,,,,,,,,,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-16,2025-05-19 22:21:25.365948+0000,cdi
2018,CDI,,,,,,,,,,,,,,,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-16,2025-05-19 22:21:25.365948+0000,cdi
2017,CDI,,,,,,,,,,,,,,,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-16,2025-05-19 22:21:25.365948+0000,cdi
2016,CDI,,,,,,,,,,,,,,,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-16,2025-05-19 22:21:25.365948+0000,cdi
2015,CDI,,,,,,,,,,,,,,,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-16,2025-05-19 22:21:25.365948+0000,cdi
2014,CDI,,,,,,,,,,,,,,,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-16,2025-05-19 22:21:25.365948+0000,cdi
2013,CDI,,,,,,,,,,,,,,,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-16,2025-05-19 22:21:25.365948+0000,cdi
2012,CDI,,,,,,,,,,,,,,,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-16,2025-05-19 22:21:25.365948+0000,cdi
2011,CDI,,,,,,,,,,,,,,,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-16,2025-05-19 22:21:25.365948+0000,cdi
2010,CDI,,,,,,,,,,,,,,,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-16,2025-05-19 22:21:25.365948+0000,cdi
2010,CDI,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,,,,,,,,,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-16,2025-05-19 22:21:25.365948+0000,cdi
2009,CDI p.p. acima IBOV,-3.86,3.63,-5.11,-2.63,-2.57,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-11.15,5107.58,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-16,2025-05-19 22:21:25.365948+0000,cdi
2009,CDI p.p. acima IBOV,5.76,-0.19,1.54,2.59,3.87,-0.69,-2.12,-5.68,3.91,2.52,3.91,5.21,21.23,5236.81,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-16,2025-05-19 22:21:25.365948+0000,cdi
2008,CDI p.p. acima IBOV,-2.24,8.41,4.08,-1.58,-2.61,-7.93,-2.19,6.22,0.26,3.93,-11.62,-4.49,-9.23,4005.53,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-16,2025-05-19 22:21:25.365948+0000,cdi
2008,CDI p.p. acima IBOV,-6.25,-0.14,-5.14,10.94,-2.19,12.52,-3.66,-5.0,0.6,-4.43,4.08,3.57,7.69,3793.56,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-16,2025-05-19 22:21:25.365948+0000,cdi
2007,CDI p.p. acima IBOV,3.47,4.51,-5.8,-1.73,-5.89,-0.16,4.3,2.9,7.01,7.22,2.12,-2.09,16.32,3175.62,https://maisretorno.com/indice/cdi#source=instruments_historical_rentability,2025-05-16,2025-05-19 22:21:25.365948+0000,cdi
