CNPJ,INSTRUMENT_CODE,INSTRUMENT_NAME,URL_INSTRUMENT,SEGMENT,SECTOR,INSTRUMENTS_CLASS,PAGE_POSITION,URL,REF_DATE,LOG_TIMESTAMP,SLUG_URL
44.625.694/0001-28,FZDA11,051 AGRO FDO INV NAS CAD PROD AGRO - FIAGRO - IMOB,https://maisretorno.com//fiagro/fzda11,-,-,lista-fiagro,15,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
49.489.928/0001-70,FZDB11,051 AGRO FAZIII FDO INV NAS CAD PROD AGRO - FIAGRO,https://maisretorno.com//fiagro/fzdb11,-,-,lista-fiagro,16,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
37.037.297/0001-70,GCRA11,GALÁPAGOS RECEBÍVEIS DO AGRONEGÓCIO – FIAGRO-IMOB,https://maisretorno.com//fiagro/gcra11,-,-,lista-fiagro,17,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
47.240.671/0001-93,GRWA11,GREENWICH AGRO FIAGRO - IMOBILIÁRIO,https://maisretorno.com//fiagro/grwa11,-,-,lista-fiagro,18,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
44.668.806/0001-28,HCRA11,HEDGE CRÉDITO AGRO FIAGRO-DIREITOS CREDITÓRIOS,https://maisretorno.com//fiagro/hcra11,-,-,lista-fiagro,19,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
44.668.806/0001-28,HCRA15,HEDGE CRÉDITO AGRO FIAGRO-DIREITOS CREDITÓRIOS,https://maisretorno.com//fiagro/hcra15,-,-,lista-fiagro,20,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
44.668.806/0001-28,HCRA16,HEDGE CRÉDITO AGRO FIAGRO-DIREITOS CREDITÓRIOS,https://maisretorno.com//fiagro/hcra16,-,-,lista-fiagro,21,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
44.668.806/0001-28,HCRA17,HEDGE CRÉDITO AGRO FIAGRO-DIREITOS CREDITÓRIOS,https://maisretorno.com//fiagro/hcra17,-,-,lista-fiagro,22,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
40.343.867/0001-64,HGAG11,HIGH FUNDO DE INVESTIMENTO AGRO FIAGRO IMOB,https://maisretorno.com//fiagro/hgag11,-,-,lista-fiagro,23,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
42.692.399/0001-69,IAAG11,INTER AMERRA - FIAGRO - IMOBILIÁRIO,https://maisretorno.com//fiagro/iaag11,-,-,lista-fiagro,24,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
44.286.898/0001-81,IAGR11,SFI INVESTIMENTOS DO AGRONEGÓCIO - FIAGRO -IMOB,https://maisretorno.com//fiagro/iagr11,-,-,lista-fiagro,25,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
42.888.292/0001-90,JGPX11,FDO INV CADEIAS PROD AGROIND JGP CRED FIAGRO IMOB,https://maisretorno.com//fiagro/jgpx11,-,-,lista-fiagro,26,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
51.641.681/0001-08,KDOL11,KINEA AGRO INCOME USD FIAGRO-IMOB,https://maisretorno.com//fiagro/kdol11,-,-,lista-fiagro,27,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
41.745.701/0001-37,KNCA11,KINEA CRÉDITO AGRO FIAGRO-IMOBILIÁRIO,https://maisretorno.com//fiagro/knca11,-,-,lista-fiagro,28,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
51.475.461/0001-51,KOPA11,KINEA OPORTUNIDADES AGRO I FIAGRO-IMOB,https://maisretorno.com//fiagro/kopa11,-,-,lista-fiagro,29,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
51.710.043/0001-00,LAFI11,LAVOURA I FIAGRO IMOB,https://maisretorno.com//fiagro/lafi11,-,-,lista-fiagro,30,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
42.592.476/0001-09,LSAG11,LESTE FDO INV CAD PROD AGROIND FIAGRO IMOB,https://maisretorno.com//fiagro/lsag11,-,-,lista-fiagro,31,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
42.537.438/0001-53,NCRA11,FYTO RECEBÍVEIS DO AGRO - FIAGRO IMOB RESP LIM,https://maisretorno.com//fiagro/ncra11,-,-,lista-fiagro,32,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
52.044.477/0001-72,NEXG11,NEX CRÉDITO AGRO FDO INV CAD PROD AGRO FIAG IMOB,https://maisretorno.com//fiagro/nexg11,-,-,lista-fiagro,33,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
41.218.352/0001-03,OIAG11,OURINVEST INNOVATION – FIAGRO IMOBILIÁRIO,https://maisretorno.com//fiagro/oiag11,-,-,lista-fiagro,34,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
41.272.747/0001-86,PLCA11,PLURAL CRÉDITO AGRO - FIAGRO - IMOBILIÁRIO,https://maisretorno.com//fiagro/plca11,-,-,lista-fiagro,35,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
42.479.593/0001-60,RURA11,ITAU ASSET RURAL FIAGRO – IMOBILIÁRIO,https://maisretorno.com//fiagro/rura11,-,-,lista-fiagro,36,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
40.413.979/0001-44,RZAG11,FDO INV CADEIAS PROD AGRO RIZA AGRO FIAGRO IMOB,https://maisretorno.com//fiagro/rzag11,-,-,lista-fiagro,37,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
45.718.511/0001-81,RZEO11,RIZA EOS FDO DE INV NAS CAD PROD - FIAGRO - IMOB,https://maisretorno.com//fiagro/rzeo11,-,-,lista-fiagro,38,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
28.152.777/0001-90,SNAG11,SUNO AGRO - FIAGRO-IMOBILIÁRIO,https://maisretorno.com//fiagro/snag11,-,-,lista-fiagro,39,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
53.313.475/0001-02,SNFZ11,SUNO FAZENDAS FIAGRO – IMOBILIÁRIO,https://maisretorno.com//fiagro/snfz11,-,-,lista-fiagro,40,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
42.502.827/0001-43,VCRA11,VECTIS DATAGRO CR AGR – FDO INV CAD PROD AG - IMOB,https://maisretorno.com//fiagro/vcra11,-,-,lista-fiagro,41,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
41.081.088/0001-09,VGIA11,VALORA CRA FDO INV NAS CAD PROD AGRO FIAGRO - IMOB,https://maisretorno.com//fiagro/vgia11,-,-,lista-fiagro,42,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
51.658.280/0001-60,VHFA11,VALORA HEDGE FUND AGRO – FIAGRO – IMOBILIÁRIO,https://maisretorno.com//fiagro/vhfa11,-,-,lista-fiagro,43,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
41.269.527/0001-01,XPCA11,XP CRÉDITO AGRÍCOLA FDO INV FIAGRO IMOBILIÁRIO,https://maisretorno.com//fiagro/xpca11,-,-,lista-fiagro,44,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
