CNPJ,INSTRUMENT_CODE,INSTRUMENT_NAME,URL_INSTRUMENT,SEGMENT,SECTOR,INSTRUMENTS_CLASS,PAGE_POSITION,URL,REF_DATE,LOG_TIMESTAMP,SLUG_URL
52.670.402/0001-05,AAGR11,ASSET BANK AGRONEGÓCIOS FIAGRO -DC,https://maisretorno.com//fiagro/aagr11,-,-,lista-fiagro,1,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
44.625.826/0001-11,AAZQ11,AZ QUEST SOLE FDO DE INV - FIAGRO - IMOBILIARIO,https://maisretorno.com//fiagro/aazq11,-,-,lista-fiagro,2,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
43.951.911/0001-07,AGRX11,FDO INV CAD PRO AGRO EXES ARAGUAIA – FIAGRO IMOB,https://maisretorno.com//fiagro/agrx11,-,-,lista-fiagro,3,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
42.592.257/0001-20,BBGO11,BB FDO DE INV DE CRÉDITO FIAGRO - IMOBILIÁRIO,https://maisretorno.com//fiagro/bbgo11,-,-,lista-fiagro,4,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
52.512.069/0001-06,BRFT11,BRADESCO FARMTECH FIDC DC RESP LIMITADA,https://maisretorno.com//fiagro/brft11,-,-,lista-fiagro,5,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
40.771.109/0001-47,BTAG11,BTG PACTUAL CRÉD AGRÍCOLA-FIAGRO D CRED RES. LTDA.,https://maisretorno.com//fiagro/btag11,-,-,lista-fiagro,6,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
42.537.579/0001-76,CPTR11,CAPITANIA AGRO STRATEGIES – FIAGRO – IMOBILIÁRIO,https://maisretorno.com//fiagro/cptr11,-,-,lista-fiagro,7,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
42.537.579/0001-76,CPTR12,CAPITANIA AGRO STRATEGIES - FIAGRO - IMOBILIÁRIO,https://maisretorno.com//fiagro/cptr12,-,-,lista-fiagro,8,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
48.903.610/0001-21,CRAA11,SPARTA FIAGRO FDO INV NAS CAD PROD AGRO - IMOB,https://maisretorno.com//fiagro/craa11,-,-,lista-fiagro,9,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
50.749.446/0001-91,CTEM11,CAETÊ FIAGRO - DIREITOS CREDITÓRIOS,https://maisretorno.com//fiagro/ctem11,-,-,lista-fiagro,10,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
42.888.360/0001-11,DCRA11,DEVANT FDO INV NAS CAD PROD  AGROIND – FIAGRO IMOB,https://maisretorno.com//fiagro/dcra11,-,-,lista-fiagro,11,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
41.224.330/0001-48,EGAF11,ECOAGRO I FDO INV CADEIAS PROD AGROIND FIAGRO IMOB,https://maisretorno.com//fiagro/egaf11,-,-,lista-fiagro,12,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
42.405.905/0001-91,FGAA11,FG/AGRO FDO DE INVEST - FIAGRO - IMOBILIÁRIO,https://maisretorno.com//fiagro/fgaa11,-,-,lista-fiagro,13,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
42.537.438/0001-53,FTCA11,FYTO RECEBÍVEIS DO AGRO - FIAGRO IMOB RESP LIM,https://maisretorno.com//fiagro/ftca11,-,-,lista-fiagro,14,https://maisretorno.com/lista-fiagro/page/1#source=avl_instruments,2025-05-16,2025-05-19 09:44:32.020484+0000,1
