YEAR,INSTRUMENT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,YTD,SINCE_INCEPTION,URL,REF_DATE,LOG_TIMESTAMP,SLUG_URL
2025,BIDB11,,,,,,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,,,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 06:06:03.788905+0000,bidb11
2025,BIDB11,,,,,,,-0.001,,,,,,,,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 06:06:03.788905+0000,bidb11
2024,BIDB11,,,,,,,-0.0092,,,,,,,,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 06:06:03.788905+0000,bidb11
2024,BIDB11,,,,,,,-0.0256,,,,,,,,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 06:06:03.788905+0000,bidb11
2023,BIDB11,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999.0,-99999.0,,,,,,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 06:06:03.788905+0000,bidb11
2023,BIDB11 p.p. acima IBOV,-6.62,8.77,-1.15,-0.04,0.3,-99999.0,-99999,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1.46,11.93,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 06:06:03.788905+0000,bidb11
2022,BIDB11 p.p. acima IBOV,11.88,2.16,1.31,2.14,3.17,-0.23,"-3,12",-6.46,3.38,0.15,-3.78,-0.68,9.32,8.82,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 06:06:03.788905+0000,bidb11
2022,BIDB11 p.p. acima IBOV,-0.09,8.48,3.6,-0.84,-0.97,-9.11,"-4,18",7.98,1.0,0.12,-11.15,-4.03,-8.77,-2.52,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 06:06:03.788905+0000,bidb11
2021,BIDB11 p.p. acima IBOV,-5.06,0.13,-6.77,10.8,-3.64,11.22,"-7,26",-8.35,2.76,-1.5,0.71,3.85,-1.16,5.45,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 06:06:03.788905+0000,bidb11
2021,BIDB11 p.p. acima IBOV,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999,-99999.0,-99999.0,8.61,-1.8,-0.49,6.33,6.33,https://maisretorno.com/fi-infra/bidb11#source=instruments_historical_rentability,2025-05-19,2025-05-20 06:06:03.788905+0000,bidb11
2025,BINC11,-0.0060999999999999995,,0.0331,0.0023,0.0001,-99999,-99999,-99999,-99999,-99999.0,-99999,-99999.0,,,https://maisretorno.com/fi-infra/binc11#source=instruments_historical_rentability,2025-05-19,2025-05-20 06:06:48.787071+0000,binc11
2025,BINC11,-99999,-99999.0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,,-0.046,,,,https://maisretorno.com/fi-infra/binc11#source=instruments_historical_rentability,2025-05-19,2025-05-20 06:06:48.787071+0000,binc11
2024,BINC11 p.p. acima IBOV,"-5,47",7.76,"-2,76","-3,46","-3,04",-99999,-99999,-99999,-99999,-99999.0,-99999,-99999.0,-7.52,-6.68,https://maisretorno.com/fi-infra/binc11#source=instruments_historical_rentability,2025-05-19,2025-05-20 06:06:48.787071+0000,binc11
2024,BINC11 p.p. acima IBOV,-99999,-99999.0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.81,"-1,48",0.91,0.21,0.21,https://maisretorno.com/fi-infra/binc11#source=instruments_historical_rentability,2025-05-19,2025-05-20 06:06:48.787071+0000,binc11
